Target,MAE,RMSE,R2,Median_AE,Error_5mm,Error_10mm,Max_Error,Outliers_20mm,Std_Error
kidney_left_delta_x,3.922442078307998,4.973387144945366,0.2727189010296157,3.069741934485985,63.46153846153846,94.23076923076923,14.635409898862683,0,4.92699567658838
kidney_left_delta_y,2.2503733882621706,2.9766009679300347,0.28743033085079805,1.659240345162643,88.46153846153845,100.0,7.348178979022123,0,2.943637547338442
kidney_left_delta_z,2.5330337996153647,3.1793247416211896,0.013068974013622059,2.2748199137580447,86.53846153846155,100.0,8.252174126584634,0,2.9490245578715
kidney_right_delta_x,4.456242267405268,5.711075026167812,0.26342580250684977,3.583401396505173,61.53846153846154,94.23076923076923,19.87647253563471,0,5.68367462069046
kidney_right_delta_y,1.7392655389095752,2.420998045397766,0.3764907664625209,1.2256841239722736,94.23076923076923,100.0,8.987944583594329,0,2.3444554300723683
kidney_right_delta_z,1.9357982384911696,2.516339539453137,0.2537146345266721,1.5275812839507958,92.3076923076923,100.0,6.149643533724069,0,2.302622713757663
