Target,MAE,RMSE,R2,Median_AE,Error_5mm,Error_10mm,Max_Error,Outliers_20mm,Std_Error
kidney_left_delta_x,3.904845412170574,4.988918725418809,0.2681693002577231,3.647115872412492,65.38461538461539,96.15384615384616,15.549102749230261,0,4.98860196960928
kidney_left_delta_y,2.280968587783655,3.043762724984409,0.25491180328465046,1.6131396824969144,86.53846153846155,100.0,8.816887971026517,0,3.006004676759431
kidney_left_delta_z,2.370003708087583,2.943067596503172,0.15429772916492723,2.060394269102684,92.3076923076923,100.0,7.81117509551774,0,2.905051261337013
kidney_right_delta_x,3.9860607289318506,5.458933688216945,0.3270289100675048,3.177539573832497,75.0,92.3076923076923,22.497082295919135,1,5.410447729668096
kidney_right_delta_y,1.7956550867118357,2.500698363788574,0.3347626396899327,1.4382410866924882,94.23076923076923,100.0,8.258428776162877,0,2.4828075876956452
kidney_right_delta_z,2.0789837422146573,2.5557984704628347,0.23012599904769881,1.7048866834734318,94.23076923076923,100.0,5.961244705141528,0,2.521534610882226
